Cluster,LAT,LON
Cluster A,25.066144,55.137905
Cluster B,25.067816,55.137947
Cluster C,25.068982,55.139283
Cluster D,25.070274,55.140691
Cluster E,25.071606,55.141275
Cluster F,25.07251,55.14275
Cluster G,25.071256,55.144081
Cluster H,25.069623,55.144569
Cluster I,25.068953,55.142933
Cluster J,25.067038,55.141789
Cluster K,25.066601,55.140283
Cluster L,25.065168,55.139939
Cluster M,25.064463,55.138496
Cluster N,25.062923,55.1379
Cluster O,25.074327,55.143593
Cluster P,25.075051,55.145101
Cluster Q,25.076504,55.145788
Cluster R,25.077412,55.1472
Cluster S,25.078559,55.148236
Cluster T,25.07938,55.149682
Cluster U,25.079948,55.151206
Cluster V,25.077835,55.15158
Cluster W,25.076936,55.150157
Cluster X,25.080162,55.152795
Cluster Y,25.077956,55.153447
Cluster Z,25.079176,55.154238
