CATID,NAME,GENDER,USUAL SPOT,TNR,LAT,LON,MOVES AROUND,ADOPTED
111,Yin,Male,Cluster Y,Yes,25.077956,55.153447,,
112,Yuri,Male,Cluster Y,Yes,25.077956,55.153447,,
113,Ballsy,Male,Cluster Y,Yes,25.077956,55.153447,,
114,Yen,Male,Cluster Y,Yes,25.077956,55.153447,,
115,Yasmin,Female,Cluster Y,Yes,25.077956,55.153447,,
116,Miu Miu,Female,Cluster X,Yes,25.080162,55.152795,,
117,Dorothy,Female,Cluster V,Yes,25.077835,55.15158,,Yes
118,Victor,Male,Cluster V,Yes,25.077835,55.15158,,
119,Vivienne,Female,Cluster V,Yes,25.077835,55.15158,,
120,Uma,Female,Cluster U,Yes,25.079948,55.151206,,
121,Buster,Male,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
122,Jeez,Male,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
123,Fluffy Tail,Female,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
124,"Felix
(Stallion)",Male,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
125,Ben,Female,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
126,Bruiser,Male,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
127,Ed,Male,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
128,Luna,Female,Cluster Q,Yes,25.076504,55.145788,Cluster Q-P,
129,Jake,Male,Cluster Q,Yes,25.076504,55.145788,,
130,Sandy,Male,Cluster Q,Yes,25.076504,55.145788,,
131,Ruby,Female,Cluster Q,Yes,25.076504,55.145788,,Yes
132,?,Male,Cluster Q,No,25.076504,55.145788,,
133,Pip Squeek,Female,Cluster P,No,25.075051,55.145101,Cluster P-Q,
134,Dolly,Female,Cluster P,Yes,25.075051,55.145101,Cluster P-Q,
135,Cleo,Female,Cluster P,Yes,25.075051,55.145101,Cluster P-O,
136,Gray,Male,Cluster P,Yes,25.075051,55.145101,,
137,Pepper,Female,Cluster P,Yes,25.075051,55.145101,,Yes
138,Potter,Male,Cluster P,Yes,25.075051,55.145101,,
139,Pablo,Male,Cluster P,Yes,25.075051,55.145101,,
140,Patrick,Male,Cluster P,No,25.075051,55.145101,,
141,Mimi,Female,Cluster M,Yes,25.064463,55.138496,,
142,,Yet to figure,Cluster M,No,25.064463,55.138496,,
143,,Yet to figure,Cluster M,No,25.064463,55.138496,,
